Year,Month,Max_Temperature,Min_Temperature
2010,1,30.1,-11.3
2010,2,29.3,-12.5
2010,3,33.7,-9.4
2010,4,35.2,-7.4
2010,5,37.0,-4.0
2010,6,36.4,-0.5
2010,7,36.7,2.6
2010,8,39.2,3.1
2010,9,38.4,2.8
2010,10,35.9,2.4
2010,11,35.0,0.2
2010,12,30.1,-11.3
2011,1,30.1,-11.3
2011,2,25.4,-9.3
2011,3,29.5,-10.3
2011,4,31.6,-6.2
2011,5,35.1,-5.8
2011,6,36.1,-0.3
2011,7,38.4,0.5
2011,8,37.7,2.9
2011,9,37.5,1.5
2011,10,35.9,2.6
2011,11,32.8,-0.3
2011,12,31.2,-7.5
2012,1,29.7,-8.1
2012,2,28.3,-7.7
2012,3,31.2,-6.5
2012,4,32.8,-4.9
2012,5,36.9,-1.8
2012,6,38.1,-1.2
2012,7,35.8,3.6
2012,8,38.3,2.6
2012,9,37.8,1.3
2012,10,36.5,1.5
2012,11,32.6,0.1
2012,12,29.7,-8.1
2013,1,29.0,-9.5
2013,2,27.9,-10.5
2013,3,30.2,-7.2
2013,4,36.3,-5.4
2013,5,34.8,-2.5
2013,6,36.1,0.6
2013,7,37.4,2.9
2013,8,37.9,1.1
2013,9,39.3,3.1
2013,10,35.8,-0.3
2013,11,34.3,-0.8
2013,12,29.0,-9.5
2014,1,28.6,-9.6
2014,2,28.8,-10.7
2014,3,29.1,-11.9
2014,4,33.4,-3.8
2014,5,33.3,-4.6
2014,6,37.6,0.4
2014,7,38.0,2.3
2014,8,38.3,3.9
2014,9,37.7,3.9
2014,10,38.8,2.9
2014,11,33.7,0.4
2014,12,28.6,-9.6
2015,1,32.3,-5.0
2015,2,28.7,-12.3
2015,3,29.8,-9.3
2015,4,34.7,-7.5
2015,5,35.6,-10.1
2015,6,37.2,0.9
2015,7,38.7,4.3
2015,8,37.9,2.5
2015,9,36.6,1.6
2015,10,36.9,3.1
2015,11,34.4,1.2
2015,12,32.3,-5.0
2016,1,30.9,-6.9
2016,2,30.4,-8.5
2016,3,32.8,-12.2
2016,4,31.9,-12.7
2016,5,35.8,-1.0
2016,6,37.3,2.0
2016,7,38.7,4.1
2016,8,38.5,4.5
2016,9,38.7,4.9
2016,10,36.1,3.2
2016,11,35.7,2.2
2016,12,30.9,-6.9
2017,1,29.4,-8.3
2017,2,29.0,-8.8
2017,3,31.1,-10.4
2017,4,34.9,-10.5
2017,5,36.2,-8.2
2017,6,37.4,0.4
2017,7,38.2,1.7
2017,8,38.0,4.0
2017,9,38.5,3.5
2017,10,38.6,2.2
2017,11,38.3,1.7
2017,12,29.4,-8.3
2018,1,32.4,-3.3
2018,2,31.2,-13.5
2018,3,31.8,-11.8
2018,4,36.6,-10.3
2018,5,36.8,-5.6
2018,6,38.2,2.5
2018,7,37.8,2.8
2018,8,38.5,2.1
2018,9,37.6,3.0
2018,10,37.8,1.4
2018,11,32.9,-1.2
2018,12,32.4,-3.3
2019,1,30.0,-4.8
2019,2,31.5,-7.0
2019,3,33.9,-3.6
2019,4,33.8,-6.6
2019,5,38.9,-1.2
2019,6,35.1,1.8
2019,7,37.3,1.4
2019,8,37.4,1.9
2019,9,37.8,3.6
2019,10,37.0,2.4
2019,11,36.7,0.8
2019,12,30.0,-4.8
2020,1,30.0,-4.8
2020,2,29.9,-12.2
2020,3,31.6,-10.4
2020,4,34.6,-3.1
2020,5,34.2,-6.8
2020,6,37.3,0.3
2020,7,38.9,0.4
2020,8,40.2,0.8
2020,9,39.1,0.3
2020,10,38.2,-2.4
2020,11,35.9,-0.5
2020,12,29.8,-6.6
2021,1,28.3,-5.4
2021,2,30.4,-14.4
2021,3,29.5,-10.2
2021,4,34.1,-6.4
2021,5,33.2,-1.7
2021,6,38.8,1.3
2021,7,37.9,2.8
2021,8,37.9,2.8
2021,9,36.0,0.9
2021,10,37.6,1.6
2021,11,37.6,-0.7
2021,12,28.3,-5.4
2022,1,30.0,-9.2
2022,2,29.6,-6.9
2022,3,29.0,-8.1
2022,4,34.3,-6.9
2022,5,34.6,-5.8
2022,6,35.9,1.3
2022,7,39.1,3.1
2022,8,39.4,4.2
2022,9,38.0,2.9
2022,10,36.4,1.1
2022,11,35.7,2.6
2022,12,30.0,-9.2
2023,1,31.5,-8.5
2023,2,30.5,-6.2
2023,3,36.5,-9.5
2023,4,36.6,-8.5
2023,5,37.5,-2.6
2023,6,39.7,0.3
2023,7,36.2,2.7
2023,8,38.1,3.4
2023,9,39.2,1.8
2023,10,36.1,-0.8
2023,11,34.8,-6.1
2023,12,33.9,-9.1
2024,1,28.7,-6.1
2024,2,29.1,-11.0
2024,3,32.5,-13.2
2024,4,36.8,-9.7
2024,5,38.2,-2.6
2024,6,35.7,-2.7
2024,7,37.3,4.1
2024,8,37.9,2.6
2024,9,37.6,3.3
2024,10,37.7,2.6
2024,11,34.1,1.8
2024,12,28.7,-6.1
2025,1,31.4,-5.3
2025,2,26.8,-14.5
2025,3,28.3,-7.6
2025,4,36.1,-9.0
2025,5,35.7,-6.4
2025,6,37.2,0.3
2025,7,37.2,1.4
2025,8,38.5,0.8
2025,9,36.8,2.0
2025,10,37.5,1.5
2025,11,36.7,0.5
2025,12,31.4,-5.3
